id,education_level,stream_or_subject_interest,recommended_degree_or_course,career_field,entry_level_job,mid_level_job,senior_level_job,key_skills_required,recommended_soft_skills,typical_university_subjects,certifications_or_extra_training,industry_growth_in_sri_lanka,global_demand_level,average_starting_salary_lkr,future_salary_range_lkr,remote_work_possibility,freelance_opportunity,automation_risk,job_description
353,A/L Pending,Commerce Stream - Business focus,BA/BSc / BEd Education,Education,Tutor,Instructor,Principal,Educational Technology|Curriculum Development|Student Assessment,Patience|Public Speaking|Mentorship,Educational Psychology|Subject-Specific Focus|Curriculum Design,Postgraduate Diploma in Education (PGDE)|TEFL/TESOL,Medium,High,50000,80000-200000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
354,A/L Pending,Arts Stream - History focus,BA Graphic Design / Diploma in Multimedia,Design,Junior Graphic Designer,Art Director,Senior Art Director,Adobe Illustrator|Typography|Color Theory,Attention to Detail|Creativity|Time Management,Visual Communication|User Experience|Digital Art,Adobe Certified Professional|Google UX Design,High,High,90000,120000-440000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
355,A/L Pending,Arts Stream - History focus,BSc Human Resource Management,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,HR Director,"Labor Law Knowledge|Recruitment|HRIS (Workday, BambooHR)",Negotiation|Empathy|Conflict Resolution,Performance Management|Organizational Behavior|Labor Law,PHR|CIPM,Medium,Medium,100000,130000-150000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
356,A/L Completed,Arts Stream - History focus,BSc Human Resource Management,Human Resources,Recruitment Trainee,Talent Acquisition Specialist,Chief Human Resources Officer (CHRO),Payroll Management|Labor Law Knowledge|Recruitment,Empathy|Communication|Conflict Resolution,Organizational Behavior|Labor Law|Performance Management,CIPM|PHR,Medium,Medium,80000,110000-580000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
357,A/L Pending,Physical Science Stream - Physics focus,BSc Hospitality Management,Tourism,Management Trainee,Tour Operations Manager,General Manager (Hotel),Event Planning|Languages|Property Management Systems,Interpersonal Skills|Cultural Awareness|Customer Service,Food & Beverage Management|Tourism Marketing|HR in Hospitality,Food Safety Certification|IATA Certification,High,Medium,90000,120000-160000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
358,A/L Completed,Physical Science Stream - Math focus,BSc Computer Science,Software Engineering,Junior Software Developer,Software Engineer,Software Architect,Problem Solving|Data Structures|Git,Teamwork|Time Management|Communication,Operating Systems|Software Patterns|Databases,Scrum Master|Azure Fundamentals,Very High,Very High,170000,200000-350000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
359,A/L Completed,Physical Science Stream - Math focus,BSc Computer Science,Software Engineering,Junior Software Developer,Software Engineer,Senior Developer,Problem Solving|Algorithms|Data Structures,Time Management|Communication|Teamwork,Operating Systems|Math for CS|Software Patterns,Azure Fundamentals|Scrum Master,Very High,Very High,135000,165000-440000,Yes,High,Medium,"Design, build, and maintain software applications and systems for various platforms."
360,Diploma Holder,Background in Tourism & Hospitality,BSc Hospitality Management,Tourism,Front Office Assistant,Hotel Manager,Resort Manager,Property Management Systems|Event Planning|Languages,Customer Service|Cultural Awareness|Problem Solving,Hospitality Operations|Food & Beverage Management|HR in Hospitality,Language Diplomas|Food Safety Certification,High,Medium,75000,105000-540000,No,Medium,High,"Manage operations in hotels, resorts, and coordinate travel experiences for tourists."
361,A/L Completed,Arts Stream - Logic/Media focus,BSc Human Resource Management,Human Resources,Payroll Clerk,HR Manager,Chief Human Resources Officer (CHRO),Recruitment|Labor Law Knowledge|Payroll Management,Negotiation|Conflict Resolution|Communication,Labor Law|Performance Management|Compensation,CIPM|SHRM-CP,Medium,Medium,60000,90000-550000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
362,Diploma Holder,Background in Logistics & Supply Chain,BSc Supply Chain Management,Logistics,Procurement Trainee,Logistics Analyst,Chief Supply Chain Officer,ERP Software (SAP/Oracle)|Inventory Management|Data Analysis,Negotiation|Leadership|Time Management,Global Supply Chain|Transportation Management|Inventory Control,CIPS|CSCP,High,High,80000,110000-390000,No,Low,Medium,Oversee the movement of goods from suppliers to consumers efficiently and cost-effectively.
363,Career Switcher,Business Management Interest,BBA Business Management,Business Operations,Business Coordinator,Project Manager,Operations Director,Budgeting|Project Management|Strategic Planning,Decision Making|Leadership|Negotiation,Strategic Management|HR|Marketing,Certified Business Analysis Professional (CBAP)|PMP,Medium,High,95000,125000-320000,Yes,Medium,Low,Oversee the day-to-day operations of a company to ensure efficiency and profitability.
364,O/L Completed,Architecture & Built Environment Interest,BArch Architecture,Architecture,Architect Assistant,Project Architect,Principal Architect,Building Codes|SketchUp|AutoCAD,Visualization|Attention to Detail|Communication,Structural Design|Architectural Design|History of Architecture,Chartered Architect (AIA)|LEED Green Associate,Medium,Medium,85000,115000-630000,Medium,High,Medium,"Design buildings and structures that are functional, safe, and aesthetically pleasing."
365,Career Switcher,Psychology & Counseling Interest,BA/BSc Psychology,Psychology,Assistant Psychologist,Counselor,Director of Mental Health Services,Therapy Techniques (CBT)|Research Methodology|Psychological Assessment,Empathy|Confidentiality|Active Listening,Cognitive Psychology|Abnormal Psychology|Counseling,Counseling Diploma|Clinical Psychology Masters,Medium,High,95000,125000-340000,Yes,High,Low,Study human behavior and help individuals navigate mental health and emotional challenges.
366,Undergraduate,Background in Design & Multimedia,BA Graphic Design / Diploma in Multimedia,Design,Visual Designer,Graphic Designer,Creative Director,Color Theory|Photoshop|Adobe Illustrator,Creativity|Time Management|Receptivity to Feedback,Visual Communication|Design Principles|User Experience,Google UX Design|Adobe Certified Professional,High,High,80000,110000-320000,Yes,High,High,"Create visual concepts to communicate ideas that inspire, inform, and captivate consumers."
367,Graduate,Background in Mechanical Systems,BSc Mechanical Engineering,Mechanical Engineering,Junior Mechanical Engineer,Production Engineer,Engineering Director,Robotics|Quality Control|Thermodynamics,Troubleshooting|Innovation|Analytical Thinking,Machine Design|Control Systems|Fluid Mechanics,Chartered Engineer (CEng)|SolidWorks Certification,Medium,High,120000,150000-400000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
368,A/L Completed,Biological Science Stream - Chemistry focus,MBBS Medicine,Healthcare - Medical,Medical Intern,Medical Officer,Hospital Director,Medical Procedures|Patient Care|Diagnosis,Communication|Decision Making Under Pressure|Empathy,Surgery|Physiology|Pathology,USMLE|MD/MS (Sri Lanka),Very High,Very High,245000,275000-550000,No,Low,Low,"Diagnose and treat illnesses, injuries, and health conditions in patients."
369,Career Switcher,Education & Teaching Interest,BA/BSc / BEd Education,Education,Trainee Teacher,Lecturer,Principal,Curriculum Development|Lesson Planning|Student Assessment,Mentorship|Empathy|Public Speaking,Subject-Specific Focus|Teaching Methodology|Educational Psychology,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,45000,75000-140000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
370,Undergraduate,Background in Networking,BSc Information Technology / Diploma in Networking,IT Infrastructure,IT Technician,Cloud Engineer,Senior Cloud Architect,Routing & Switching|Linux/Windows Server|Cloud Computing (AWS/Azure),Reliability|Troubleshooting|Customer Service,System Administration|Operating Systems|Computer Networks,CCNP|CompTIA Network+,High,High,105000,135000-660000,Yes,Low,Medium,"Design, install, and maintain the computer networks and systems that organizations rely on."
371,Career Switcher,Healthcare Caregiving Interest,BSc Nursing,Healthcare - Nursing,Student Nurse,ICU Nurse,Matron,Infection Control|Vital Signs Monitoring|Patient Care,Patience|Communication|Empathy,Psychology|Medical-Surgical Nursing|Nursing Foundations,BLS|Specialized Nursing Certifications,High,Very High,60000,90000-400000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
372,A/L Pending,Arts Stream - History focus,LLB Law,Legal Services,Junior Lawyer,Legal Consultant,Chief Legal Officer,Legal Research|Drafting Contracts|Litigation,Negotiation|Public Speaking|Argumentation,Corporate Law|Criminal Law|Contract Law,Notary Public|Attorney-at-Law (Sri Lanka Law College),Medium,Medium,95000,125000-510000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
373,O/L Completed,Education & Teaching Interest,BA/BSc / BEd Education,Education,Teaching Assistant,Lecturer,Professor,Curriculum Development|Student Assessment|Lesson Planning,Patience|Empathy|Mentorship,Educational Psychology|Teaching Methodology|Subject-Specific Focus,Postgraduate Diploma in Education (PGDE)|TEFL/TESOL,Medium,High,65000,95000-180000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
374,O/L Completed,Cybersecurity Interest,BSc Cyber Security,Information Security,SOC Analyst,Cyber Security Specialist,Chief Information Security Officer (CISO),Network Security|Risk Assessment|Ethical Hacking,Ethics|Calm Under Pressure|Analytical Thinking,Cryptography|Digital Forensics|Malware Analysis,CompTIA Security+|CEH,Very High,Very High,200000,230000-620000,Yes,High,Low,Protect computer systems and networks from cyber attacks and unauthorized access.
375,O/L Completed,Data Analysis & AI Interest,BSc Data Science,Data Science,Junior Data Scientist,Machine Learning Engineer,Chief Data Officer,SQL|Machine Learning|Data Viz,Presentation|Business Acumen|Curiosity,Deep Learning|Big Data|Probability,Google Data Analytics|IBM Data Science,High,Very High,185000,215000-490000,Yes,High,Low,Analyze complex data sets to help companies make data-driven decisions and build predictive models.
376,A/L Pending,Arts Stream - Languages focus,LLB Law,Legal Services,Junior Lawyer,Corporate Counsel,Chief Legal Officer,Drafting Contracts|Compliance|Legal Research,Public Speaking|Analytical Thinking|Negotiation,Criminal Law|Corporate Law|Contract Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,75000,105000-220000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
377,Undergraduate,Background in Law & Justice,LLB Law,Legal Services,Legal Assistant,Corporate Counsel,Judge,Drafting Contracts|Compliance|Litigation,Negotiation|Public Speaking|Argumentation,Corporate Law|Contract Law|Criminal Law,Attorney-at-Law (Sri Lanka Law College)|Notary Public,Medium,Medium,90000,120000-650000,No,Medium,Medium,"Advise and represent clients in legal matters, draft documents, and ensure legal compliance."
378,A/L Completed,Technology Stream - ET/BST focus,BSc Mechanical Engineering,Mechanical Engineering,Design Engineer Intern,Production Engineer,Engineering Director,CAD/CAM|Quality Control|Thermodynamics,Troubleshooting|Innovation|Attention to Detail,Machine Design|Fluid Mechanics|Thermodynamics,Chartered Engineer (CEng)|SolidWorks Certification,Medium,High,105000,135000-470000,No,Low,Medium,"Design, develop, build, and test mechanical and thermal sensors and devices."
379,Undergraduate,Background in Healthcare Caregiving,BSc Nursing,Healthcare - Nursing,Assistant Nurse,ICU Nurse,Nursing Sister,Vital Signs Monitoring|Patient Care|Infection Control,Empathy|Resilience|Patience,Psychology|Medical-Surgical Nursing|Pharmacology,BLS|ACLS,High,Very High,70000,100000-480000,No,Low,Low,"Provide care to patients, administer medications, and assist doctors in medical treatments."
380,A/L Pending,Physical Science Stream - Physics focus,BA/BSc / BEd Education,Education,Tutor,Lecturer,Principal,Educational Technology|Curriculum Development|Student Assessment,Empathy|Public Speaking|Patience,Curriculum Design|Educational Psychology|Subject-Specific Focus,TEFL/TESOL|Postgraduate Diploma in Education (PGDE),Medium,High,55000,85000-100000,Medium,High,Low,"Educate and mentor students, preparing them for academic and personal success."
381,Graduate,Background in Human Resource Management,BSc Human Resource Management,Human Resources,Payroll Clerk,HR Manager,VP of People,"Recruitment|Labor Law Knowledge|HRIS (Workday, BambooHR)",Conflict Resolution|Negotiation|Communication,Organizational Behavior|Labor Law|Performance Management,PHR|SHRM-CP,Medium,Medium,90000,120000-220000,Yes,Low,Medium,"Manage the recruitment, development, and wellbeing of an organization's employees."
